URL,Version,Status,OIDs,Name,Title,Description,Uses,Used,Sources
http://dicom.nema.org/medical/dicom/current/output/chtml/part16/sect_CID_33.html,2025.3.20250714,active,"1.2.840.10008.6.1.1283",Modality,,"Transitive closure of CID 33 Modality","StructureDefinition/guideline-attachment","DICOM"
http://hl7.org/fhir/ValueSet/group-involvement-set,6.0.0-ballot3,draft,,GroupInvolvement,Group Involvement,"A code that describes how a member of the group participates in the group.","StructureDefinition/pico-question,StructureDefinition/conceptual-cohort-definition-comparator,StructureDefinition/conceptual-cohort-definition-outcome,StructureDefinition/conceptual-cohort-definition-population,StructureDefinition/conceptual-cohort-definition-intervention",
http://hl7.org/fhir/ValueSet/group-membership-basis,6.0.0-ballot3,draft,"2.16.840.1.113883.4.642.3.3069",GroupMembershipBasis,Group Membership Basis,"Basis for membership in a group","StructureDefinition/pico-question,StructureDefinition/conceptual-cohort-definition-comparator,StructureDefinition/conceptual-cohort-definition-outcome,StructureDefinition/conceptual-cohort-definition-population,StructureDefinition/conceptual-cohort-definition-intervention","hl7.fhir.r6.core"
http://hl7.org/fhir/ValueSet/group-type,6.0.0-ballot3,draft,"2.16.840.1.113883.4.642.3.277,2.16.840.1.113883.4.642.2.156,2.16.840.1.113883.4.642.3.284",GroupType,Group Type,"Types of resources that are part of group.","StructureDefinition/pico-question,StructureDefinition/conceptual-cohort-definition-comparator,StructureDefinition/conceptual-cohort-definition-outcome,StructureDefinition/conceptual-cohort-definition-population,StructureDefinition/conceptual-cohort-definition-intervention","hl7.fhir.r6.core"
http://hl7.org/fhir/ValueSet/identifier-type,6.0.0-ballot3,active,"2.16.840.1.113883.4.642.3.45",IdentifierTypeCodes,Identifier Type Codes,"A coded type for an identifier that can be used to determine which identifier to use for a specific purpose.","StructureDefinition/awmf-guideline,StructureDefinition/awmf-guideline-record-s2k,StructureDefinition/awmf-member-organization,StructureDefinition/awmf-guideline-record-s3,StructureDefinition/guideline-registry-record,StructureDefinition/awmf-guideline-record-s2e,StructureDefinition/awmf-guideline-record-s1","THO (V2)"
http://hl7.org/fhir/ValueSet/identifier-use,6.0.0-ballot3,active,"2.16.840.1.113883.4.642.3.57",IdentifierUse,IdentifierUse,"Identifies the purpose for this identifier, if known .","StructureDefinition/awmf-guideline,StructureDefinition/awmf-guideline-record-s2k,StructureDefinition/awmf-member-organization,StructureDefinition/awmf-guideline-record-s3,StructureDefinition/guideline-registry-record,StructureDefinition/awmf-guideline-record-s2e,StructureDefinition/awmf-guideline-record-s1","hl7.fhir.r6.core"
http://hl7.org/fhir/ValueSet/languages,6.0.0-ballot3,active,"2.16.840.1.113883.4.642.3.891,2.16.840.1.113883.4.642.3.20",CommonLanguages,Common Languages,"This value set includes common codes from BCP-47 (see http://tools.ietf.org/html/bcp47)","StructureDefinition/ext-section-language,StructureDefinition/guideline-author-role,StructureDefinition/conceptual-cohort-definition-outcome,StructureDefinition/guideline-attachment,StructureDefinition/conceptual-cohort-definition-intervention,StructureDefinition/evidence-internal-assessment-agreeii,StructureDefinition/pico-question,StructureDefinition/recommendation-justification-sign,StructureDefinition/evidence-internal-assessment-robis,StructureDefinition/recommendation-justification-oxford-2011,StructureDefinition/citation-list,StructureDefinition/awmf-member-organization,StructureDefinition/awmf-guideline-record-s3,StructureDefinition/guideline-registry-record,StructureDefinition/awmf-guideline-record-s2e,StructureDefinition/evidence-overall-assessment-grade,StructureDefinition/recommendation-justification-awmf,StructureDefinition/awmf-guideline-record-s1,StructureDefinition/medical-society,StructureDefinition/awmf-guideline,StructureDefinition/awmf-guideline-record-s2k,StructureDefinition/recommendation-justification-expert-consensus,StructureDefinition/conceptual-cohort-definition-comparator,StructureDefinition/evidence-internal-assessment-cochrane-rob,StructureDefinition/patient-organization,StructureDefinition/recommendation,StructureDefinition/outcome-evidence,StructureDefinition/conceptual-cohort-definition-population,StructureDefinition/recommendation-justification,StructureDefinition/evidence-overall-assessment-oxford2011,StructureDefinition/recommendation-justification-grade,StructureDefinition/evidence-internal-assessment-amstar2,StructureDefinition/guideline-author,StructureDefinition/evidence-assessment,StructureDefinition/evidence-internal-validity-assessment,StructureDefinition/ext-author-language,StructureDefinition/evidence-overall-quality-assessment,StructureDefinition/recommendation-justification-oxford-2009,StructureDefinition/evidence-report-with-contact-slices","hl7.terminology.r5"
http://hl7.org/fhir/ValueSet/list-empty-reason,6.0.0-ballot3,draft,"2.16.840.1.113883.4.642.3.322,2.16.840.1.113883.4.642.3.313,2.16.840.1.113883.4.642.2.176",ListEmptyReasons,List Empty Reasons,"General reasons for a list to be empty. Reasons are either related to a summary list (i.e. problem or medication list) or to a workflow related list (i.e. consultation list).","StructureDefinition/awmf-guideline,StructureDefinition/awmf-guideline-record-s2k,StructureDefinition/recommendation,StructureDefinition/citation-list,StructureDefinition/evidence-report-with-contact-slices,StructureDefinition/awmf-guideline-record-s3,StructureDefinition/guideline-registry-record,StructureDefinition/awmf-guideline-record-s2e,StructureDefinition/awmf-guideline-record-s1","THO"
http://hl7.org/fhir/ValueSet/list-example-codes,6.0.0-ballot3,draft,"2.16.840.1.113883.4.642.3.316,2.16.840.1.113883.4.642.3.307,2.16.840.1.113883.4.642.2.173",ExampleUseCodesForList,Example Use Codes for List,"Example use codes for the List resource - typical kinds of use.","StructureDefinition/citation-list","THO"
http://hl7.org/fhir/ValueSet/list-item-flag,6.0.0-ballot3,draft,"2.16.840.1.113883.4.642.3.311,2.16.840.1.113883.4.642.3.320,2.16.840.1.113883.4.642.2.175",PatientMedicineChangeTypes,Patient Medicine Change Types,"Example Item Flags for the List Resource. In this case, these are the kind of flags that would be used on a medication list at the end of a consultation.","StructureDefinition/citation-list","hl7.fhir.r6.core"
http://hl7.org/fhir/ValueSet/list-mode,6.0.0-ballot3,draft,"2.16.840.1.113883.4.642.2.174,2.16.840.1.113883.4.642.3.309,2.16.840.1.113883.4.642.3.318",ListMode,List Mode,"The processing mode that applies to this list.","StructureDefinition/citation-list","hl7.fhir.r6.core"
http://hl7.org/fhir/ValueSet/list-order,6.0.0-ballot3,draft,"2.16.840.1.113883.4.642.3.315,2.16.840.1.113883.4.642.3.324,2.16.840.1.113883.4.642.2.177",ListOrderCodes,List Order Codes,"Base values for the order of the items in a list resource.","StructureDefinition/awmf-guideline,StructureDefinition/awmf-guideline-record-s2k,StructureDefinition/recommendation,StructureDefinition/citation-list,StructureDefinition/evidence-report-with-contact-slices,StructureDefinition/awmf-guideline-record-s3,StructureDefinition/guideline-registry-record,StructureDefinition/awmf-guideline-record-s2e,StructureDefinition/awmf-guideline-record-s1","THO"
http://hl7.org/fhir/ValueSet/list-status,6.0.0-ballot3,draft,"2.16.840.1.113883.4.642.3.326,2.16.840.1.113883.4.642.2.178,2.16.840.1.113883.4.642.3.317",ListStatus,List Status,"The current state of the list.","StructureDefinition/citation-list","hl7.fhir.r6.core"
http://hl7.org/fhir/ValueSet/organization-type,6.0.0-ballot3,draft,"2.16.840.1.113883.4.642.2.228,2.16.840.1.113883.4.642.3.414,2.16.840.1.113883.4.642.3.403",OrganizationType,Organization Type,"This example value set defines a set of codes that can be used to indicate a type of organization.","StructureDefinition/patient-organization,StructureDefinition/awmf-member-organization,StructureDefinition/medical-society","THO"
http://hl7.org/fhir/ValueSet/practitioner-role,6.0.0-ballot3,draft,"2.16.840.1.113883.4.642.3.430,2.16.840.1.113883.4.642.2.251,2.16.840.1.113883.4.642.3.439",PractitionerRole,Practitioner Role,"This example value set defines a set of codes that can be used to indicate the role of a Practitioner.","StructureDefinition/guideline-author-role","SCT,THO"
http://hl7.org/fhir/ValueSet/publication-status,6.0.0-ballot3,active,"2.16.840.1.113883.4.642.3.3",PublicationStatus,PublicationStatus,"The lifecycle status of an artifact.","StructureDefinition/pico-question,StructureDefinition/conceptual-cohort-definition-comparator,StructureDefinition/conceptual-cohort-definition-outcome,StructureDefinition/conceptual-cohort-definition-population,StructureDefinition/outcome-evidence,StructureDefinition/conceptual-cohort-definition-intervention","hl7.fhir.r6.core"
http://hl7.org/fhir/ValueSet/qualification-status,6.0.0-ballot3,active,"2.16.840.1.113883.4.642.3.3346",QualificationStatus,Qualification Status,"Set of statuses that apply to qualifications of practitioners and organizations","StructureDefinition/guideline-author,StructureDefinition/patient-organization,StructureDefinition/awmf-member-organization,StructureDefinition/medical-society","hl7.fhir.r6.core"
http://hl7.org/fhir/ValueSet/referenced-item-category,6.0.0-ballot3,active,"2.16.840.1.113883.4.642.3.3275",ReferencedItemCategoryValueSet,Referenced Item Category Value Set,"This is the code specifying the high-level kind of document (e.g. Prescription, Discharge Summary, Report, etc.). Made up of a set of non-healthcare specific codes and all LOINC codes where scale type = 'DOC'.","StructureDefinition/awmf-guideline,StructureDefinition/awmf-guideline-record-s2k,StructureDefinition/recommendation,StructureDefinition/evidence-report-with-contact-slices,StructureDefinition/awmf-guideline-record-s3,StructureDefinition/guideline-registry-record,StructureDefinition/awmf-guideline-record-s2e,StructureDefinition/awmf-guideline-record-s1","LOINC,THO"
http://hl7.org/fhir/ValueSet/resource-types,6.0.0-ballot3,active,"2.16.840.1.113883.4.642.3.27",ResourceType,Resource Types,"Concrete FHIR Resource Types","StructureDefinition/awmf-guideline-record-s2k,StructureDefinition/awmf-guideline-record-s3,StructureDefinition/guideline-registry-record,StructureDefinition/awmf-guideline-record-s2e,StructureDefinition/awmf-guideline-record-s1","hl7.fhir.r6.core"
http://hl7.org/fhir/ValueSet/security-label-examples,6.0.0-ballot3,draft,"2.16.840.1.113883.4.642.3.3011",SecurityLabelExamples,Example set of Security Labels,"A sample of security labels from [Healthcare Privacy and Security Classification System](security-labels.html#hcs) as the combination of data and event codes.","StructureDefinition/guideline-attachment",
http://hl7.org/fhir/ValueSet/security-labels,6.0.0-ballot3,active,"2.16.840.1.113883.4.642.3.46,2.16.840.1.113883.4.642.2.31,2.16.840.1.113883.4.642.3.47",AllSecurityLabels,All Security Labels,"A single value set for all security labels defined by FHIR.","StructureDefinition/awmf-guideline-record-s2k,StructureDefinition/recommendation,StructureDefinition/awmf-guideline-record-s3,StructureDefinition/guideline-registry-record,StructureDefinition/awmf-guideline-record-s2e,StructureDefinition/awmf-guideline-record-s1",
http://hl7.org/fhir/ValueSet/service-mode,6.0.0-ballot3,draft,"2.16.840.1.113883.4.642.4.3322",ServiceMode,Service Mode,"An example set of Service Modes that could be applicable to use to characterize HealthcareServices or PractitionerRoles while searching","StructureDefinition/guideline-author-role","hl7.fhir.r6.core"
http://hl7.org/fhir/ValueSet/statistic-model-code,6.0.0-ballot3,draft,"2.16.840.1.113883.4.642.3.3046",StatisticModelCode,Statistic Model Code,"The handling of the variable in statistical analysis for exposures or outcomes.","StructureDefinition/outcome-evidence","hl7.fhir.r6.core"
http://hl7.org/fhir/ValueSet/statistic-type,6.0.0-ballot3,draft,"2.16.840.1.113883.4.642.3.3044",StatisticType,Statistic Type,"The type of a statistic, e.g. relative risk or mean","StructureDefinition/outcome-evidence","THO"
http://hl7.org/fhir/ValueSet/study-design,6.0.0-ballot3,draft,"2.16.840.1.113883.4.642.3.3045",StudyDesign,Study Design,"This is a set of terms for study design characteristics.","StructureDefinition/outcome-evidence","hl7.fhir.r6.core"
http://hl7.org/fhir/ValueSet/variable-handling,6.0.0-ballot3,draft,"2.16.840.1.113883.4.642.3.3062",EvidenceVariableHandling,Evidence Variable Handling,"The handling of the variable in statistical analysis for exposures or outcomes (E.g. Dichotomous, Continuous, Descriptive).","StructureDefinition/outcome-evidence","hl7.fhir.r6.core"
http://hl7.org/fhir/ValueSet/variable-role,6.0.0-ballot3,draft,"2.16.840.1.113883.4.642.3.3048",EvidenceVariableRole,Evidence Variable Role,"The role that the variable plays.","StructureDefinition/outcome-evidence","hl7.fhir.r6.core"
http://hl7.org/fhir/ValueSet/variable-role-subtype,6.0.0-ballot3,draft,"2.16.840.1.113883.4.642.3.3345",EvidenceVariableRoleSubtype,Evidence Variable Role Subtype,"The sub-role that the variable plays.","StructureDefinition/outcome-evidence","THO"
http://hl7.org/fhir/ValueSet/version-algorithm,6.0.0-ballot3,draft,"2.16.840.1.113883.4.642.3.3103",VersionAlgorithm,Version Algorithm,"Indicates the mechanism used to compare versions to determine which is more current.","StructureDefinition/awmf-guideline,StructureDefinition/awmf-guideline-record-s2k,StructureDefinition/conceptual-cohort-definition-comparator,StructureDefinition/conceptual-cohort-definition-outcome,StructureDefinition/recommendation,StructureDefinition/conceptual-cohort-definition-population,StructureDefinition/outcome-evidence,StructureDefinition/conceptual-cohort-definition-intervention,StructureDefinition/pico-question,StructureDefinition/guideline-registry-record,StructureDefinition/awmf-guideline-record-s3,StructureDefinition/awmf-guideline-record-s2e,StructureDefinition/awmf-guideline-record-s1","hl7.fhir.r6.core"
http://hl7.org/fhir/uv/ebm/ValueSet/evidence-rating-system-classifier,1.0.0-ballot3,active,"2.16.840.1.113883.4.642.40.44.48.10",EvidenceRatingSystemClassifier,Evidence Rating System Classifier Codes Value Set,"Codes for use with the EvidenceAssessment Profile, to provide values for the content.classifier element where content.type is Rating System.","StructureDefinition/recommendation-justification-expert-consensus,StructureDefinition/evidence-internal-assessment-cochrane-rob,StructureDefinition/recommendation-justification,StructureDefinition/evidence-overall-assessment-oxford2011,StructureDefinition/evidence-internal-assessment-agreeii,StructureDefinition/recommendation-justification-grade,StructureDefinition/recommendation-justification-sign,StructureDefinition/evidence-internal-assessment-amstar2,StructureDefinition/evidence-assessment,StructureDefinition/evidence-internal-validity-assessment,StructureDefinition/evidence-internal-assessment-robis,StructureDefinition/recommendation-justification-oxford-2011,StructureDefinition/evidence-overall-quality-assessment,StructureDefinition/recommendation-justification-oxford-2009,StructureDefinition/recommendation-justification-awmf,StructureDefinition/evidence-overall-assessment-grade","hl7.fhir.uv.ebm"
http://terminology.hl7.org/ValueSet/certainty-rating,1.0.0,draft,"2.16.840.1.113883.4.642.3.1414",StatisticCertaintyRating,StatisticCertaintyRating,"The relative quality of the statistic.","StructureDefinition/evidence-internal-assessment-amstar2,StructureDefinition/evidence-assessment,StructureDefinition/evidence-internal-validity-assessment,StructureDefinition/evidence-internal-assessment-cochrane-rob,StructureDefinition/evidence-internal-assessment-robis,StructureDefinition/evidence-overall-quality-assessment,StructureDefinition/evidence-overall-assessment-oxford2011,StructureDefinition/evidence-internal-assessment-agreeii,StructureDefinition/evidence-overall-assessment-grade","THO"
http://terminology.hl7.org/ValueSet/certainty-type,1.0.0,active,,EvidenceCertaintyType,Evidence Certainty Type,"The aspect of quality, confidence, or certainty.","StructureDefinition/evidence-internal-assessment-amstar2,StructureDefinition/evidence-assessment,StructureDefinition/evidence-internal-validity-assessment,StructureDefinition/evidence-internal-assessment-cochrane-rob,StructureDefinition/evidence-internal-assessment-robis,StructureDefinition/evidence-overall-quality-assessment,StructureDefinition/evidence-overall-assessment-oxford2011,StructureDefinition/evidence-internal-assessment-agreeii,StructureDefinition/evidence-overall-assessment-grade","THO"
http://terminology.hl7.org/ValueSet/contactentity-type,1.0.0,draft,"2.16.840.1.113883.4.642.3.416",ContactEntityType,Contact entity type,"This example value set defines a set of codes that can be used to indicate the purpose for which you would contact a contact party.","StructureDefinition/awmf-guideline-record-s2k,StructureDefinition/evidence-report-with-contact-slices,StructureDefinition/awmf-guideline-record-s3,StructureDefinition/guideline-registry-record,StructureDefinition/awmf-guideline-record-s2e,StructureDefinition/awmf-guideline-record-s1","THO"
http://terminology.hl7.org/ValueSet/contributor-role,1.0.0,active,,ContributorRole,Contributor Role,"Used to code the format of the display string.","StructureDefinition/awmf-guideline,StructureDefinition/awmf-guideline-record-s2k,StructureDefinition/recommendation,StructureDefinition/evidence-report-with-contact-slices,StructureDefinition/awmf-guideline-record-s3,StructureDefinition/guideline-registry-record,StructureDefinition/awmf-guideline-record-s2e,StructureDefinition/awmf-guideline-record-s1","THO"
http://terminology.hl7.org/ValueSet/directness,1.0.0,draft,"2.16.840.1.113883.4.642.3.1458",EvidenceDirectness,EvidenceDirectness,"The quality of how direct the match is.","StructureDefinition/outcome-evidence","THO"
http://terminology.hl7.org/ValueSet/recommendation-strength,1.0.1,active,"2.16.840.1.113883.4.642.3.1021",StrengthOfRecommendationRating,StrengthOfRecommendationRating,"A rating system that describes the strength of the recommendation, such as the GRADE, DynaMed, or HGPS systems.","StructureDefinition/recommendation-justification-grade","THO"
http://terminology.hl7.org/ValueSet/synthesis-type,1.0.0,draft,"2.16.840.1.113883.4.642.3.1347",StatisticSynthesisType,StatisticSynthesisType,"Types of combining results from a body of evidence (eg. summary data meta-analysis).","StructureDefinition/outcome-evidence","THO"
http://terminology.hl7.org/ValueSet/v2-0360,2.0.0,active,"2.16.840.1.113883.21.236",Hl7VSDegreeLicenseCertificate,hl7VS-degreeLicenseCertificate,"Concepts specifying an educational degree (e.g., MD).  Used in the CNN datatype (names and identifiers of clinicians) in Version 2 messaging.  Used in Version 2 messaging; note that in releases of HL7 prior to 2.3.1, was also used in person names (XPN), but this use was deprecated, then withdrawn in 2.7.","StructureDefinition/guideline-author","THO (V2)"
http://terminology.hl7.org/ValueSet/v3-ActCode,3.0.0,active,,ActCode,v3 Code System ActCode,"A code specifying the particular kind of Act that the Act-instance represents within its class.  Constraints:  The kind of Act (e.g. physical examination, serum potassium, inpatient encounter, charge financial transaction, etc.) is specified with a code from one of several, typically external, coding systems.  The coding system will depend on the class of Act, such as LOINC for observations, etc. Conceptually, the Act.code must be a specialization of the Act.classCode. This is why the structure of ActClass domain should be reflected in the superstructure of the ActCode domain and then individual codes or externally referenced vocabularies subordinated under these domains that reflect the ActClass structure. Act.classCode and Act.code are not modifiers of each other but the Act.code concept should really imply the Act.classCode concept. For a negative example, it is not appropriate to use an Act.code ""potassium"" together with and Act.classCode for ""laboratory observation"" to somehow mean ""potassium laboratory observation"" and then use the same Act.code for ""potassium"" together with Act.classCode for ""medication"" to mean ""substitution of potassium"". This mutually modifying use of Act.code and Act.classCode is not permitted.","StructureDefinition/awmf-guideline,StructureDefinition/awmf-guideline-record-s2k,StructureDefinition/guideline-attachment,StructureDefinition/recommendation,StructureDefinition/evidence-report-with-contact-slices,StructureDefinition/awmf-guideline-record-s3,StructureDefinition/guideline-registry-record,StructureDefinition/awmf-guideline-record-s2e,StructureDefinition/awmf-guideline-record-s1","THO (V3)"
http://terminology.hl7.org/ValueSet/v3-HL7FormatCodes,2.1.0,active,"2.16.840.1.113883.11.19752",HL7FormatCodes,HL7 ValueSet of Format Codes for use with Document Sharing,"The HL7-FormatCodes value set is defined to be the set of FormatCode(s) defined by implementation guides published by HL7 and other SDOs. The use of a formatCode from the FormatCodes value set specifies the technical format that a document conforms to. The formatCode is a further specialization more detailed than the mime-type. The formatCode provides sufficient information to allow any potential document content consumer to know if it can process and/or display the content of the document based on the document encoding, structure and template conformance indicated by the formatCode. The set of formatCodes is intended to be extensible. The Content Logical Description is defined intentionally to permit formatCodes defined by other Standards Development Organizations to be added by inclusion of additional formatCode Code Systems.","StructureDefinition/guideline-attachment","THO (V3),Other"
https://fevir.net/resources/ValueSet/179431,1.0.0-ballot3,active,"2.16.840.1.113883.4.642.40.44.48.4",EvidenceReportSectionCode_Value_Set,EvidenceReportSectionCode Value Set,"This value set is a temporary workspace while drafting the Evidence Based Medicine Implementation Guide. It may not be stable and may not be persistent.","StructureDefinition/awmf-guideline,StructureDefinition/awmf-guideline-record-s2k,StructureDefinition/recommendation,StructureDefinition/evidence-report-with-contact-slices,StructureDefinition/awmf-guideline-record-s3,StructureDefinition/guideline-registry-record,StructureDefinition/awmf-guideline-record-s2e,StructureDefinition/awmf-guideline-record-s1","hl7.fhir.uv.ebm"
